Issue #,Release Date,Page Count,Do we have it? ,PDF Format? ,English Link,Farsi Link?
1,9/1/1983,6,YES,,,
2,10/1/1983,6,YES,,,
3,11/1/1983,6,YES,,,
4,12/1/1983,8,YES,,,
5,,,NO,,,
6,02/01/1984,8,YES,,,
7,,,NO,,,
8,05/01/1984,8,YES,,,
,,,,,,
9,05/01/1984,8,YES,,,
,,,,,,
10,6/1/1984,8,YES,,,
11,,,,,,
12,01/01/1985,12,YES,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,12/1/1985,12,YES,,,
18,02/01/1986,12,YES,,,
19,04/01/1986,12,YES,,,
20,,16,YES,,,
21,09/01/1986,16,YES,,,
22,,,,,,
23,04/01/1987,16,YES,,,
24,09/01/1987,48,YES,,,
25,01/01/1988,56,YES,,,
26,07/01/1988,44,YES,,,
27,12/01/1988,40,YES,,,
28,06/01/1989,44,YES,,,
29,11/1/1989,36,YES,,,
30,03/01/1990,40,YES,,,
31,09/01/1990,56,YES,,,
32,04/01/1991,40,YES,,,
33,07/01/1991,52,YES,,,
34,10/1/1991,60,YES,,,
35,01/01/1992,60,YES,,,
36,04/01/1992,44,YES,,,
37,07/01/1992,44,YES,,,
38,10/01/1992,52,YES,,,
39,01/01/1993,48,YES,,,
40,04/01/1993,48,YES,,,
41,07/01/1993,48,YES,,,
42,10/1/1993,52,YES,,,
43,1/1/1994,48,YES,,,
44,07/01/1994,60,YES,,,
45,7/1/1994,52,YES,,,
46,10/1/1994,68,YES,,,
47,1/1/1995,52,YES (ilene),,,
48,4/1/1995,44,YES (ilene),,,
49,7/1/1995,48,YES,,,
50,10/1/1995,56,YES (ilene),,,
51,1/1/1996,48,YES (ilene),,,
52,4/1/1996,44,YES (ilene),,,
53,7/1/1996,56,YES (ilene),,,
54,10/1/96,56,YES (ilene),,,
55,1/1/97,44,YES,,,
56,4/1/97,52,YES,,,
57,7/1/97,44,YES,,,
58,10/1/97,60,YES,,,
59,1/1/98,48,YES,,,
60,4/1/98,104,YES,,,
61,7/1/98,76,YES,,,
62,10/1/98,108,YES,,,
63,1/1/99,72,YES,,,
64,4/1/98,68,YES,,,
65,7/1/99,72,YES,,,
66,10/1/99,88,YES (ilene),,,
67,1/1/2000,80,YES,,,
68,4/1/2000,76,YES,,,
69,7/1/2000,92,YES,,,
70,10/1/2000,100,YES,,,
71,1/1/2001,100,YES,,,
72,4/1/01,100,YES,,,
73,7/1/01,88,YES,,,
74,10/1/01,100,YES,,,
75,1/1/02,72,YES,,,
76,4/1/02,80,YES (ilene),,,
77,7/1/02,88,YES (ilene),,,
78,10/1/02,84,YES,,,
79,1/1/2003,80,YES,,,
80,7/1/03,88,YES,,,
81,1/1/04,96,YES,,,
82,7/1/04,92,YES,,,
83,1/1/05,92,YES,,,
84,7/1/05,88,YES (ilene),,,
85,1/1/06,88,YES (ilene),,,
86,,,,,,
87,,,,,,
88,,,,,,
89,,,,,,
90,,,,,,
91,Aug 2008,84,YES,YES,https://drive.google.com/file/d/1qOCNTyVlYYAo-8YHstuJrDPk8HuVGqhM/view?usp=drive_link,
92,Feb 2009,76,YES,YES,https://drive.google.com/file/d/1-52aYjRUUlPmJjkkznZ4PIp0SnCUR3jR/view?usp=drive_link,
93,Jul 2009,68,YES,YES,https://drive.google.com/file/d/18B2Hxl-M9zzJLpvtwYR2sP9g6PmbrKUP/view?usp=drive_link,
94,Nov 2009,64,YES,YES,https://drive.google.com/file/d/1GxE9jpVFEUPj_DS9LxnMNPrcFMsao7yS/view?usp=drive_link,
95,Mar 2010,68,YES (ilene),YES,https://drive.google.com/file/d/0B13GzJI5wK8kaWxDbURTV2J3MHM/view?usp=drive_link&resourcekey=0-dlqqGpJhky5cWozxs-jNug,https://drive.google.com/file/d/1CY_5nhzJ9HJu0la0HkZwHnUdI25ffFnv/view?usp=drive_link
96,Aug 2010,80,YES (ilene),YES,https://drive.google.com/file/d/1SUqYwQHRFRgDhoNSzthzFbU6d-_dWygg/view?usp=drive_link,
97,Jan 2011,89,YES,YES,https://drive.google.com/file/d/13vJZn837xoOeoCMuOAacfCZpOKpAzf_1/view?usp=drive_link,
98,Jul 2011,68,YES,YES,https://drive.google.com/file/d/1ig2WsYUYybR6MEqq4FoeM0mwIqqJsUxV/view?usp=drive_link,
99,Jan 2012,84,YES,YES,https://drive.google.com/file/d/1fMYvoZw7IhpnLXgQ-gT7wR_WFCPrLgf6/view?usp=drive_link,
100,Mar 2022,44,YES,YES,https://drive.google.com/file/d/1ibzXOSwankYYS9Hej84tYJ311gFv12Zt/view?usp=drive_link,
101,Sep 2022,40,YES,YES,https://drive.google.com/file/d/10Uqdh0wFvMzF-3Zj2h4jKqqRmmJjSDSa/view?usp=drive_link,
102,Apr 2023,48,YES,YES,https://drive.google.com/file/d/1WAJou9DNlibDvpGk6KAZkWbmEQPv-luc/view?usp=drive_link,
103,Oct 2023,44,YES,YES,https://drive.google.com/file/d/1IK2glT30CJEtz5IkWMyXPlDz00DgPT9W/view?usp=drive_link,
